CustomerID,CustomerName,Region,SignupDate,Quantity,TotalValue,Cluster
C0045,Michael Williams,Asia,2022-02-25,23.0,6021.8,0
C0046,Beth Cardenas,North America,2024-10-23,19.0,5627.83,0
C0047,Samantha Frank,North America,2024-03-22,13.0,2870.54,1
C0048,Matthew Park,South America,2024-11-07,12.0,3850.9399999999996,3
C0049,Jason Yates,North America,2024-09-18,17.0,2315.48,1
C0050,Ryan Davis,North America,2024-03-02,8.0,3068.83,1
C0051,Nicholas Ellis,Europe,2023-12-21,16.0,5699.57,0
C0052,Stanley Aguirre,South America,2024-02-20,10.0,2488.01,1
C0053,Albert Burke,Europe,2022-06-18,18.0,5316.46,3
C0054,Bruce Rhodes,Asia,2024-09-29,24.0,8040.389999999999,0
C0055,Lauren Williams,North America,2024-11-11,12.0,2857.6800000000003,1
C0056,Erika Fernandez,Asia,2024-04-12,12.0,3182.94,1
C0057,Elizabeth Nguyen,Europe,2024-07-27,16.0,4536.4,3
C0058,Zachary Turner,North America,2024-01-28,1.0,396.34,2
C0059,Mrs. Kimberly Wright,North America,2024-04-07,21.0,7073.28,0
C0060,James Murphy,Europe,2022-04-22,2.0,82.36,2
C0061,Brandon Escobar,Europe,2023-03-06,6.0,2138.26,1
C0062,Jeffery Hartman,Europe,2022-12-14,8.0,1639.54,2
C0063,Wayne Ferguson,Europe,2024-02-05,5.0,1378.1699999999998,2
C0064,Martha Montgomery,Europe,2023-10-22,13.0,4039.77,3
C0065,Gerald Hines,North America,2024-07-10,27.0,7663.7,0
C0066,Catherine White,Europe,2024-11-15,9.0,3799.2799999999997,3
C0067,Carl Gonzalez,North America,2023-07-06,14.0,4090.84,3
C0068,Mark Cox,North America,2023-04-04,22.0,5950.42,0
C0069,Stacy Foster,Europe,2023-12-03,10.0,2878.69,1
C0070,Timothy Perez,Europe,2022-03-15,12.0,3125.49,1
C0071,Taylor Murphy,South America,2022-07-01,7.0,1400.83,2
C0072,Sarah Scott,North America,2024-07-24,13.0,2999.59,1
C0073,Heidi Johnson,Europe,2022-08-20,10.0,2060.54,1
C0074,Jonathan Russo,Europe,2022-05-27,8.0,3055.2200000000003,1
C0075,Misty Higgins,Europe,2023-05-01,28.0,5848.97,0
C0076,Emily Roberts,South America,2024-02-11,11.0,2333.06,1
C0077,Scott Sims,South America,2023-10-18,7.0,837.3,2
C0078,Julia Palmer,Asia,2024-11-13,2.0,995.52,2
C0079,Brian Murillo,North America,2022-02-02,12.0,4251.5599999999995,3
C0080,David Gonzalez,Asia,2024-02-07,3.0,1007.52,2
C0081,Kimberly Turner,Europe,2024-02-24,14.0,3542.48,1
C0082,Aimee Taylor,South America,2022-05-13,23.0,7572.91,0
C0083,Christina Stark,South America,2022-04-07,4.0,642.8,2
C0084,Belinda Garner,Asia,2024-09-17,20.0,4441.1,3
C0085,Richard Brown,South America,2024-09-22,7.0,2598.33,1
C0086,Stephanie Peterson,Europe,2022-09-18,13.0,2754.68,1
C0087,Travis Campbell,South America,2024-04-11,22.0,6604.23,0
C0088,Carlos Murray,Asia,2023-05-14,10.0,2135.38,1
C0089,Paul Carter,Europe,2024-04-02,7.0,2556.2200000000003,1
C0090,Charles Hamilton,Asia,2023-10-17,16.0,4138.16,3
C0091,Lisa Kirk,South America,2023-03-16,20.0,3137.66,1
C0092,Jacqueline Zamora,Asia,2024-05-29,10.0,3015.95,1
C0093,Nancy Walker,Asia,2024-07-13,19.0,5294.99,3
C0094,Emily Trevino,North America,2023-09-16,9.0,1166.97,2
C0095,William Walker,South America,2023-03-04,5.0,1284.27,2
C0096,Benjamin Mcclure,South America,2022-11-18,16.0,6072.92,0
C0097,Tina Ford,Asia,2023-12-18,1.0,137.54,2
C0098,Laura Gilbert,North America,2024-10-21,14.0,3158.02,1
C0099,Rodney Eaton,South America,2023-01-29,21.0,6715.72,0
C0100,Clinton Gomez,Europe,2023-03-16,14.0,5003.45,3
C0101,Kelsey Roberts,Asia,2023-09-30,20.0,5550.99,0
C0102,Michael Atkinson,South America,2022-09-16,21.0,6132.360000000001,0
C0103,Jennifer Munoz,Europe,2022-05-15,7.0,2462.5499999999997,1
C0104,Laura Bennett,South America,2022-02-10,21.0,6579.1,0
C0105,Ryan Hampton,Europe,2024-11-11,16.0,4807.45,3
C0106,Amanda Mcguire,Asia,2022-09-22,13.0,2939.3,1
C0107,Dana Cantrell,South America,2023-02-07,12.0,3623.92,3
C0108,David Davis,South America,2022-09-28,16.0,4848.54,3
C0109,Abigail Jones,North America,2022-05-09,32.0,5487.25,3
C0110,Elizabeth Wells,Asia,2024-09-21,4.0,942.32,2
C0111,Roger David,Europe,2024-11-13,16.0,1973.02,1
C0112,Brian Adkins,South America,2022-07-07,8.0,1959.51,1
C0113,Joseph Ortiz Jr.,South America,2022-06-17,22.0,4812.1,3
C0114,Benjamin Anderson,Europe,2024-11-18,18.0,5780.43,0
C0115,Joshua Hamilton,Asia,2024-11-11,8.0,3137.18,1
C0116,James Martinez,North America,2024-09-11,11.0,2758.6800000000003,1
C0117,Jeffrey Mcmahon,North America,2024-11-22,12.0,4028.2700000000004,3
C0118,Jacob Holt,South America,2022-01-22,10.0,3434.77,1
C0119,David Armstrong,Europe,2023-11-13,6.0,1191.61,2
C0120,Francisco Diaz,South America,2023-01-13,9.0,2470.02,1
C0121,Mark Atkinson,Europe,2023-07-23,8.0,974.52,2
C0122,Corey Ruiz,North America,2022-05-06,17.0,5072.55,3
C0123,Jason Johnston,Asia,2023-11-05,4.0,1400.06,2
C0124,Lindsay Perez,Europe,2024-08-26,19.0,4264.33,3
C0125,Nicholas Taylor,North America,2022-12-18,10.0,2973.96,1
C0126,Caitlin Brown,South America,2024-02-20,13.0,4565.57,3
C0127,Kathryn Stevens,Europe,2024-04-04,11.0,3232.88,1
C0128,Henry Leach,Asia,2023-05-29,3.0,773.19,2
C0129,Marcus Livingston,South America,2024-04-14,9.0,2339.61,1
C0130,Robert Jones,South America,2023-04-19,2.0,601.36,2
C0131,Scott Wilson,North America,2022-06-05,7.0,1943.82,1
C0132,Lisa Jackson,Europe,2023-02-01,8.0,1851.2599999999998,1
C0133,Gwendolyn Carter,South America,2023-03-11,11.0,2884.33,1
C0134,Theresa Gonzalez,Asia,2022-02-19,16.0,2679.28,1
C0135,Toni Weaver,Europe,2022-08-23,10.0,3135.58,1
C0136,Kristen Holder,Asia,2024-03-14,21.0,4298.99,3
C0137,Robert Gardner,South America,2024-04-09,11.0,3332.55,1
C0138,Cynthia Clayton,Asia,2024-11-01,17.0,5610.25,0
C0139,Ricky Gutierrez,North America,2022-03-14,13.0,3703.64,3
C0140,Gregory Estrada,Asia,2023-07-01,5.0,1888.1399999999999,1
C0141,Paul Parsons,Europe,2023-02-23,27.0,10673.869999999999,0
C0142,Nicole Long DVM,Asia,2024-02-08,11.0,2239.04,1
C0143,Brian Parker,Asia,2024-05-27,21.0,6044.63,0
C0144,Andrea Hart,North America,2024-09-30,8.0,1304.6799999999998,2
C0145,Wayne Stone,Asia,2023-01-13,20.0,5771.27,0
C0146,Brittany Harvey,Asia,2024-09-04,8.0,2570.8,1
C0147,Hunter Fuller,South America,2022-05-16,14.0,2948.44,1
C0148,Matthew Rogers,South America,2023-04-16,18.0,5457.79,3
C0149,Tina Wilson,Europe,2023-01-21,15.0,4404.78,3
C0150,Angela Williams,South America,2022-09-13,2.0,580.34,2
C0151,Amber Gonzalez,South America,2024-11-22,4.0,223.96,2
C0152,Justin Evans,South America,2022-04-19,10.0,3385.8599999999997,1
C0153,Justin Smith,South America,2022-03-20,17.0,4744.79,3
C0154,Robert Sharp,North America,2024-10-27,11.0,3703.61,3
C0155,Michelle Brown,South America,2023-03-23,17.0,5377.83,3
C0156,William Adams,North America,2023-08-19,28.0,7634.45,0
C0157,Miguel Wong,North America,2024-01-30,10.0,1876.1,1
C0158,Wendy Browning,South America,2023-04-12,9.0,3716.52,3
C0159,Austin Miller,Asia,2022-08-06,8.0,2072.41,1
C0160,Jodi Cook,North America,2022-04-05,14.0,2926.93,1
C0161,Jessica Warren,Asia,2022-03-14,14.0,3141.83,1
C0162,Edwin Watson,Asia,2022-03-29,20.0,4802.24,3
C0163,Tiffany Cain,South America,2023-06-08,19.0,5775.28,0
C0164,Morgan Perez,Europe,2023-06-01,10.0,3087.69,1
C0165,Juan Mcdaniel,South America,2022-04-09,30.0,6708.1,0
C0166,John Rogers,Europe,2022-02-13,11.0,2405.3500000000004,1
C0167,Brandy Welch,Europe,2024-01-27,8.0,2300.42,1
C0168,Karen Clements MD,South America,2022-12-13,12.0,5053.83,3
C0169,Jennifer Shaw,South America,2023-04-13,20.0,4533.32,3
C0170,Logan Harris,Europe,2023-09-13,15.0,4931.74,3
C0171,Michael Cowan,South America,2022-12-16,15.0,5145.35,3
C0172,Jamie Webb,Europe,2024-09-09,10.0,2201.7,1
C0173,Francisco Young,Asia,2022-10-06,20.0,5808.04,0
C0174,Tracy Steele,South America,2022-11-03,12.0,2891.95,1
C0175,Matthew Johnson,Asia,2022-04-16,26.0,6210.53,0
C0176,Nicole Booth,North America,2022-03-23,12.0,2331.32,1
C0177,Julia Kelly,Asia,2024-06-01,9.0,2509.81,1
C0178,Carol Williams,Asia,2023-11-19,9.0,2708.83,1
C0179,Donald Miller,Europe,2022-10-16,14.0,3652.83,3
C0180,Amy Carpenter,Asia,2023-10-25,0.0,0.0,2
C0181,Alexander Barker,South America,2023-11-16,15.0,3347.6000000000004,1
C0182,Joshua Preston,Europe,2024-12-28,17.0,4980.7699999999995,3
C0183,Kimberly Johnson,North America,2024-01-23,12.0,3850.2200000000003,3
C0184,Tina Jacobs,South America,2022-05-13,11.0,3393.1800000000003,1
C0185,Kathleen Logan,North America,2023-10-17,9.0,3424.3199999999997,1
C0186,Amber Alexander,Asia,2023-10-11,7.0,1761.6399999999999,2
C0187,Kayla Kelly,South America,2024-08-02,11.0,4612.44,3
C0188,Anna Ball,South America,2022-05-17,21.0,7111.320000000001,0
C0189,Sherri Dixon,North America,2024-01-22,11.0,2643.21,1
C0190,Alexander Lowe,South America,2024-05-31,14.0,2983.02,1
C0191,Samantha Gibson DVM,South America,2024-04-07,11.0,2997.9700000000003,1
C0192,Sarah Arias,South America,2022-09-15,8.0,2072.7200000000003,1
C0193,Douglas Torres,Asia,2023-02-03,11.0,3009.2900000000004,1
C0194,Stacy Cook,North America,2024-05-04,14.0,3869.17,3
C0195,Jeremy Mclaughlin,South America,2024-09-17,17.0,4036.27,3
C0196,Laura Watts,Europe,2022-06-07,12.0,4982.88,3
C0197,Christina Harvey,Europe,2023-03-21,9.0,1928.65,1
C0198,Rebecca Ray,Europe,2022-02-27,3.0,931.83,2
C0199,Andrea Jenkins,Europe,2022-12-03,9.0,1979.28,1
C0200,Kelly Cross,Asia,2023-06-11,16.0,4758.6,3
